Ionian, 0 2 4 5 7 9 11 12;
Dorian, 0 2 3 5 7 9 10 12;
Phrygian, 0 1 3 5 7 8 10 12;
Lydian, 0 2 4 6 7 9 11 12;
Mixolydian, 0 2 4 5 7 9 10 12;
Aeolian, 0 2 3 5 7 8 10 12;
Locrian, 0 1 3 5 6 8 10 12;
"Melodic Minor", 0 2 3 5 7 9 11 12;
"Dorian b2", 0 1 3 5 7 9 10 12;
"Lydian Aug", 0 2 4 6 8 9 11 12;
"Mixolydian #11", 0 2 4 6 7 9 10 12;
"Mixolydian b6", 0 2 4 5 7 8 10 12;
"Locrian Natural 9", 0 2 3 5 6 8 10 12;
"Altered Dominant", 0 1 3 4 6 8 10 12;
"Harmonic Minor", 0 2 3 5 7 8 11 12;
"Locrian Natural 6", 0 1 3 5 6 9 10 12;
"Ionian Aug", 0 2 4 5 8 9 11 12;
"Dorian #11", 0 2 3 6 7 9 10 12;
"Phrygian Major", 0 1 4 5 7 8 10 12;
"Lydian #9", 0 3 4 6 7 9 11 12;
"Altered Dominant bb7", 0 1 3 4 6 8 9 12;
